Source,Well,A1,A2,A3,C1,C2,C3,H1,H2,H3,Notes
AWRI4,A01,,,,,,,,,,NP 
AWRI4,A02,426,443,,2.94,3.72,,55.3160125299429,41.4016872160935,,CP 
AWRI4,A03,432,448,,0.38,0.65,,55.4343195591529,34.856875867471,,CP LC 
AWRI4,A04,425,440,423,1.24,2.29,0.67,32.1784993039625,30.7252514557967,32.3063349214752,C A2 
AWRI4,A05,426,441,,1.02,1.76,,48.8038930325632,43.0725850463889,,CP 
AWRI4,A06,430,445,,0.18,0.42,,36.7046594797643,36.2286772840713,,P LC 
AWRI4,A07,431,446,,0.25,0.52,,47.7431434841997,39.4662123793299,,P LC 
AWRI4,A08,424,440,,1.29,1.73,,45.4341967275967,44.7683269245949,,CP 
AWRI4,A09,430,444,,0.01,0.03,,9.613740576669,12.9556229113235,,P LC 
AWRI4,A10,422,438,,1.20,1.34,,50.281012915176,37.7083809088833,,CP 
AWRI4,A11,434,450,,0.35,0.85,,46.4660825161028,39.0452426545968,,P LC 
AWRI4,A12,431,447,,0.87,1.69,,49.2558384680061,40.3999397643279,,CP LC 
AWRI4,B01,435,450,,0.39,0.82,,38.7551125436767,25.9333495851278,,P LC 
AWRI4,B02,427,444,,3.00,4.79,,52.7653849371218,40.5633940272704,,CP 
AWRI4,B03,434,449,,0.24,0.55,,44.4750430292599,37.0993749433825,,P LC 
AWRI4,B04,422,437,,0.13,0.13,,25.2070467029058,19.1023707203233,,CP LC 
AWRI4,B05,433,447,,0.21,0.67,,36.9693030401513,42.6271161402783,,P LC 
AWRI4,B06,432,432,,0.41,0.41,,58.1004643309413,,,LC 
AWRI4,B07,,,,,,,,,,NP 
AWRI4,B08,431,447,,0.81,1.13,,55.8168248700425,32.5322239436287,,CP LC 
AWRI4,B09,421,438,,1.60,1.84,,39.5861033016331,39.5982827042333,,CP 
AWRI4,B10,429,445,,0.89,1.46,,56.650886917081,38.2678751258812,,CP LC 
AWRI4,B11,436,455,,0.42,0.47,,51.4004482335319,17.8809140360164,,C LC 
AWRI4,B12,433,450,,0.88,1.49,,56.9351352531493,37.4313181814874,,CP LC 
AWRI4,C01,453,486,442,0.37,0.27,0.22,18.7029972752044,9.17399766446088,17.5196574542624,C A2 LC 
AWRI4,C02,427,446,,4.22,5.51,,46.5000385034268,31.2070274254409,,CP 
AWRI4,C03,422,442,,1.17,2.39,,24.742610328185,24.9436323410009,,P 
AWRI4,C04,419,438,425,1.62,2.86,1.17,26.7566873371739,26.8704362822442,26.6756287047631,CP A2 
AWRI4,C05,424,441,,1.80,1.90,,54.1616926535963,39.4234783181855,,CP 
AWRI4,C06,425,442,,1.34,1.39,,55.5718475073314,34.5579588251932,,CP 
AWRI4,C07,428,443,426,0.59,1.16,0.37,31.2950260576334,25.963749233599,31.3692711526671,C A2 LC 
AWRI4,C08,428,444,,0.85,1.01,,60.808783874882,36.061581501955,,CP LC 
AWRI4,C09,425,439,421,0.83,1.65,0.72,28.1913255203368,28.2991331387418,28.3075670680728,C A2 LC 
AWRI4,C10,407,423,430,0.13,0.10,0.10,17.2292844691977,14.3361251647464,16.6850899196463,C A2 LC 
AWRI4,C11,406,429,422,0.43,0.34,0.29,23.4019161300456,19.3132938488274,16.6716486723377,CP A2 LC 
AWRI4,C12,408,424,431,0.12,0.09,0.09,18.6359627633513,13.9108280254777,16.6918177364037,C A2 LC 
AWRI4,D01,408,431,424,0.04,0.04,0.03,12.1847681404468,12.2243407561967,10.8464942259956,CP A2 LC 
AWRI4,D02,325,474,344,0.03,0.04,0.02,4.01450828456022,3.8331547275575,4.2535652460638,C A2 LC 
AWRI4,D03,417,417,,3.85,3.85,,34.4675087307027,,,
AWRI4,D04,399,440,406,0.02,0.03,0.02,8.51980375732918,7.69414861792509,8.62749790594711,C A2 LC 
AWRI4,D05,400,440,407,0.02,0.02,0.01,5.64118138334219,7.33429504213803,6.34727811100144,C A2 LC 
AWRI4,D06,434,434,,0.54,0.54,,34.1370915655068,,,LC 
AWRI4,D07,422,431,446,0.64,0.70,0.35,19.5687143845608,29.3310357289238,6.24143356412212,CP A2 LC 
AWRI4,D08,418,430,398,1.43,0.96,0.49,27.5419711281411,25.8513633933345,14.6162894314739,CP A2 
AWRI4,D09,428,438,450,0.09,0.15,0.07,18.3726970994276,26.0185675116648,6.66458223098754,CP A2 LC 
AWRI4,D10,424,437,,0.43,0.37,,30.8555266379075,28.6522395331979,,CP LC 
AWRI4,D11,428,441,453,0.35,0.38,0.20,28.3408627867836,23.0737886438126,5.84994242182656,CP A2 LC 
AWRI4,D12,436,447,406,0.03,0.05,0.02,26.0661618174572,19.2606616181746,22.5587883618972,CP A2 LC 
AWRI4,E01,434,434,,0.54,0.54,,63.4073792044927,,,LC 
AWRI4,E02,,,,,,,,,,NP 
AWRI4,E03,428,444,,1.05,1.71,,55.4453824440529,44.5546175559471,,CP 
AWRI4,E04,420,433,400,0.98,0.63,0.35,28.4277429558901,25.3166188272509,14.2018628082713,CP A2 LC 
AWRI4,E05,416,428,397,1.99,1.48,0.74,29.9786589288646,28.6680243314832,16.7458637809634,CP A2 
AWRI4,E06,422,434,446,0.30,0.19,0.11,28.3730426240875,24.921512355785,6.34449816059631,CP A2 LC 
AWRI4,E07,427,444,,0.84,0.96,,50.7051831930695,35.5868283371587,,CP LC 
AWRI4,E08,428,445,,0.79,0.90,,66.0684932839232,33.9315067160768,,CP LC 
AWRI4,E09,426,442,423,0.88,1.32,0.57,29.54491599495,22.5432650286491,29.6416431970477,C A2 LC 
AWRI4,E10,427,443,426,1.13,1.99,0.62,31.3136544743569,24.3116160513786,31.434997983774,C A2 
AWRI4,E11,431,442,,0.49,1.83,,25.3986178879111,25.5555792299661,,P LC 
AWRI4,E12,429,446,,0.54,1.77,,30.493525916014,23.3374001338109,,P LC 
AWRI4,F01,432,448,,0.55,0.92,,62.1161956564582,34.3009735524812,,CP LC 
AWRI4,F02,434,450,,0.60,1.00,,64.6375791695989,35.3624208304011,,CP LC 
AWRI4,F03,425,443,,0.65,1.96,,28.3113558323344,25.1305443241157,,P LC 
AWRI4,F04,425,443,,1.72,1.66,,59.7500018242716,40.2499981757284,,CP 
AWRI4,F05,419,437,,3.16,2.98,,44.2720987679369,42.8564182420403,,CP 
AWRI4,F06,427,443,,1.20,1.64,,55.672559690459,40.8757746390261,,CP 
AWRI4,F07,452,452,,2.67,2.67,,86.3298624168471,,,
AWRI4,F08,430,446,,0.71,0.89,,65.2075719623866,34.7924280376134,,CP LC 
AWRI4,F09,427,438,404,0.09,0.08,0.07,13.6631353873068,12.6484595198756,10.3469724948975,CP A2 LC 
AWRI4,F10,428,428,,1.58,1.58,,100,100,,P 
AWRI4,F11,443,445,425,0.65,1.09,0.58,22.8992521584362,22.8430469469641,22.901750167835,C A2 LC 
AWRI4,F12,455,455,,3.49,3.49,,83.0753640194144,,,
AWRI4,G01,435,450,,0.14,0.29,,55.673080676008,44.326919323992,,P LC 
AWRI4,G02,428,444,,2.02,3.43,,56.7496258958809,43.2503741041191,,CP 
AWRI4,G03,422,440,,1.10,2.59,,25.6378948014296,25.6832998420027,,P 
AWRI4,G04,439,439,,0.06,0.06,,8.63467226409694,8.63467226409694,,P LC 
AWRI4,G05,431,447,,0.37,0.72,,57.2066052593901,42.7933947406099,,CP LC 
AWRI4,G06,312,345,434,0.02,0.03,0.02,5.10090929252606,5.82168995342648,8.57174539809271,C A2 LC 
AWRI4,G07,403,426,,0.36,0.25,,37.0448876193923,30.1340295459539,,CP LC 
AWRI4,G08,426,426,,1.18,1.18,,87.3689487565117,87.3689487565117,,P 
AWRI4,G09,432,432,,0.05,0.05,,68.3905609721633,,,LC 
AWRI4,G10,431,466,,0.83,1.06,,73.7437387067999,26.2562612932001,,C LC 
AWRI4,G11,432,448,,0.54,0.92,,60.7855503140688,39.2144496859312,,CP LC 
AWRI4,G12,422,443,440,0.97,1.62,0.94,22.5963303805021,22.4990820213889,22.5636273924818,CP A2 LC 
AWRI4,H01,433,451,,0.51,0.48,,59.051912342605,15.8545651943025,,C LC 
AWRI4,H02,442,462,,2.04,2.64,,41.2593938798566,27.6257838466198,,CP 
AWRI4,H03,429,449,421,0.15,0.14,0.08,13.6946329304239,5.02878395220479,5.84581297355042,C A2 LC 
AWRI4,H04,445,465,,0.46,0.47,,29.0060960872251,18.5433842683353,,CP LC 
AWRI4,H05,432,432,,0.24,0.24,,100,100,,P LC 
AWRI4,H06,,,,,,,,,,NP 
AWRI4,H07,435,443,430,0.29,0.34,0.15,34.0649233033339,18.0718288334182,25.6721571291108,CP A2 LC 
AWRI4,H08,431,452,,0.26,0.15,,44.3983536960819,11.8708882911495,,C LC 
AWRI4,H09,,,,,,,,,,NP 
AWRI4,H10,,,,,,,,,,NP 
AWRI4,H11,,,,,,,,,,NP 
AWRI4,H12,,,,,,,,,,NP 
