dbID	LabID	*sample_name	sample_title	bioproject_accession	*organism	isolate	cultivar	ecotype	age	dev_stage	*geo_loc_name	*tissue	biomaterial_provider	cell_line	cell_type	collected_by	collection_date	culture_collection	disease	disease_stage	genotype	growth_protocol	height_or_length	isolation_source	lat_lon	phenotype	population	sample_type	sex	specimen_voucher	temp	treatment	description
EXP000077	23				Hybrid		Niagara				Canada/Ontario/Niagara/FUNK	Leaves				JW/PL	31-07-2019									Red							
EXP000079	2				Hybrid		Vidal blanc				Canada/Ontario/Niagara/FUNK	Leaves				JW/PL	31-07-2019									White							
EXP000080	33				Hybrid		Frontenac noir				Canada/Ontario/Niagara/FUNK	Leaves				JW/PL	31-07-2019									Red							
EXP000086	17				Hybrid		Dechaunde				Canada/Ontario/Niagara/FUNK	Leaves				JW/PL	31-07-2019									Red							
EXP000002	8				Vitis vinifera 		Chardonnay				Canada/Ontario/Niagara/Henry of Pelham	Leaves				JW/PL	31-07-2019									White							
EXP000027	29				Vitis vinifera 		Pinot gris				Canada/Ontario/Niagara/Henry of Pelham	Leaves				JW/PL	31-07-2019									Red							
EXP000032	7				Vitis vinifera 		Riesling				Canada/Ontario/Niagara/Henry of Pelham	Leaves				JW/PL	31-07-2019									White							
EXP000036	5				Vitis vinifera 		Sauvignon blanc				Canada/Ontario/Niagara/Henry of Pelham	Leaves				JW/PL	31-07-2019									White							
EXP000037	20				Vitis vinifera 		Sauvignon blanc				Canada/Ontario/Niagara/Henry of Pelham	Leaves				JW/PL	31-07-2019									Red							
EXP000044	31				Vitis vinifera 		Cabernet franc				Canada/Ontario/Niagara/Henry of Pelham	Leaves				JW/PL	31-07-2019									Red							
EXP000046	12				Vitis vinifera 		Cabernet Sauvignon				Canada/Ontario/Niagara/Henry of Pelham	Leaves				JW/PL	31-07-2019									Red							
EXP000053	3				Vitis vinifera 		Merlot				Canada/Ontario/Niagara/Henry of Pelham	Leaves				JW/PL	31-07-2019									Red							
EXP000060	4				Vitis vinifera 		Pinot Noir				Canada/Ontario/Niagara/Henry of Pelham	Leaves				JW/PL	31-07-2019									Red							
