Source,Well,A1,A2,A3,C1,C2,C3,H1,H2,H3,Notes
VRZAG64,F12,423,428,321,2.28,1.99,1.97,29.3374792330834,29.1855626898957,23.1549249397572,CP A2 
VRZAG64,G01,428,450,,2.10,1.66,,36.828910092636,31.7022090133306,,CP 
VRZAG64,G02,425,425,,5.56,5.56,,67.9995799091554,,,
VRZAG64,G03,441,448,318,2.51,1.63,1.30,25.6605156884783,25.5372133675469,17.9630577763775,CP A2 
VRZAG64,G04,424,444,,4.55,4.85,,28.4866116072365,28.2726211039393,,CP 
VRZAG64,G05,425,425,,5.69,5.69,,69.8719937627787,,,
VRZAG64,G06,313,434,,1.90,8.11,,19.5098599330743,25.1743773582537,,P 
VRZAG64,G07,297,403,,1.03,4.89,,12.6308608309555,12.5703050592814,,P 
VRZAG64,G08,434,449,,0.98,0.75,,45.7024634138921,31.7880794701987,,CP LC 
VRZAG64,G09,439,445,335,1.90,1.55,1.05,27.2692613073939,27.1727230436136,10.5202223178278,CP A2 
VRZAG64,G10,330,438,,3.01,6.31,,32.1373410954022,36.1772093891614,,P 
VRZAG64,G11,426,449,429,1.02,1.62,1.01,15.6922440357582,15.5999085355895,15.6068772525833,CP A2 
VRZAG64,G12,424,436,,1.76,4.03,,17.2902781480494,17.2833910957078,,P 
VRZAG64,H01,330,339,,3.64,2.78,,33.7264094529624,33.5717304119725,,CP 
VRZAG64,H02,257,264,,1.27,1.14,,7.57234282846028,7.36353369306061,,CP 
VRZAG64,H03,418,428,331,2.67,4.14,2.04,21.4822787612308,21.3771905049071,21.2881326605649,CP A2 
VRZAG64,H04,422,445,,2.97,2.32,,47.3101119970503,30.3607641609439,,CP 
VRZAG64,H05,417,417,,9.54,9.54,,42.1655775514127,,,
VRZAG64,H06,414,426,,3.68,4.67,,28.4517702702224,28.4007915856849,,CP 
VRZAG64,H07,320,446,309,2.07,3.61,1.56,14.6766075262491,14.5151943729643,14.7978339109719,C A2 
VRZAG64,H08,321,439,,1.49,5.11,,23.5008568909003,33.4736526846475,,P 
VRZAG64,H09,419,425,329,2.43,1.75,1.39,35.1080312754023,34.8619238593954,18.3960802453889,CP A2 
VRZAG64,H10,327,342,,2.99,4.90,,34.4687250769056,38.6191181497095,,CP 
VRZAG64,H11,,,,,,,,,,NP 
VRZAG64,H12,,,,,,,,,,NP 
